"Date Time","Intersection Street One","Intersection Street Two","Address Street Number","Address Street Name","Number of Motorists","Number of Cyclists","Number of Pedestrians","Number of Injured Individuals","Hospitalizations (estimated)","Neighborhood (estimated)"
"2021 Aug 18 06:00:00 PM","CAMBRIDGE ST","QUINCY ST",,,"2","0","0","0","0","Mid-Cambridge"
"2021 Aug 18 04:27:00 PM",,,"57","HURLEY ST","0","0","0","0","0","East Cambridge"
"2021 Aug 18 11:22:00 AM","MT AUBRUN ST","DEWOLF ST",,,"2","0","0","0","0","Riverside"
"2021 Aug 17 07:09:00 PM",,,,"MASSACHUSETTS AVE","2","0","0","1","2",
"2021 Aug 17 01:08:00 PM",,,"52","JOHN F KENNEDY ST","3","0","0","0","0","Riverside"
"2021 Aug 17 12:47:00 PM","MASSACHUSETTS AVENUE","WALDEN STREET",,,"2","0","0","0","0","North Cambridge"
"2021 Aug 17 01:52:00 AM","PEMBERTON ST","WARWICK PK",,,"1","0","0","0","0","North Cambridge"
"2021 Aug 16 10:31:00 PM",,,"143","HAMPSHIRE ST","0","0","0","0","0","Wellington-Harrington"
"2021 Aug 16 05:46:00 PM","ABERDEEN AVE","MOUNT AUBURN ST",,,"2","0","0","0","0","West Cambridge"
"2021 Aug 16 04:39:00 PM","ALBANY ST","MASSACHUSETTS AVE",,,"2","0","0","0","0","Cambridgeport"
"2021 Aug 15 10:13:00 AM","MASS AVE","PEABODY ST",,,"1","1","0","1","0","Mid-Cambridge"
"2021 Aug 15 08:50:00 AM",,,"362","RINDGE AVE","0","0","0","0","0","North Cambridge"
"2021 Aug 14 06:13:00 PM",,,"10","ELIOT STREET","0","0","0","0","0","West Cambridge"
"2021 Aug 14 01:01:00 PM","HAMPSHIRE ST",,"205","HAMPSHIRE ST","2","0","0","0","0","Mid-Cambridge"
"2021 Aug 14 10:51:00 AM",,,"58","SHEPARD ST","1","0","0","0","0","Neighborhood Nine"
"2021 Aug 13 01:21:00 PM",,,"5","THIRD STREET","1","0","1","1","1","East Cambridge"
"2021 Aug 13 12:51:00 PM",,,"1580","MASS AVE","1","0","0","0","0","Neighborhood Nine"
"2021 Aug 12 08:26:00 PM",,,"182","SHERMAN ST","0","0","0","0","0","North Cambridge"
"2021 Aug 12 06:38:00 PM",,,"799","CONCORD AVE","2","0","0","0","0","Cambridge Highlands"
"2021 Aug 12 05:01:00 PM",,,"592","PUTNAM AVE","1","0","0","0","0","Cambridgeport"
"2021 Aug 11 12:55:00 PM",,,"60","VASSAR ST","1","0","0","0","0","Area 2/MIT"
"2021 Aug 10 08:12:00 PM",,,"2096","MASSACHUSETTS AVENUE","2","0","0","0","0","North Cambridge"
"2021 Aug 10 06:28:00 PM",,,,"MONTAGUE STREET","0","0","0","0","0",
"2021 Aug 10 03:10:00 PM","LINNAEAN ST","BOWDOIN ST",,,"1","0","1","0","0","Neighborhood Nine"
"2021 Aug 10 02:38:00 PM",,,,"BELMONT STREET","1","0","1","1","0",
"2021 Aug 10 02:30:00 PM",,,"168","ALEWIFE BROOK PKWY","1","0","0","0","0","Cambridge Highlands"
"2021 Aug 10 01:35:00 PM","ALLSTON STREET","FAIRMONT AVE",,,"1","0","0","0","0","Cambridgeport"
"2021 Aug 10 10:20:00 AM","MASS AVE","QUINCY STREET",,,"0","0","0","0","0",
"2021 Aug 10 08:44:00 AM",,,"524","HURON AV","2","0","0","1","0","West Cambridge"
"2021 Aug 09 06:07:00 PM",,,"100","HARVARD STREET","2","0","0","0","0","The Port"
"2021 Aug 09 05:18:00 PM",,,"1073","MASSACHUSETTS AVENUE","1","0","0","0","0","Mid-Cambridge"
"2021 Aug 09 01:58:00 PM","ASH STREET","ACADIA STREET",,,"0","0","0","0","0",
"2021 Aug 09 11:45:00 AM",,,,"PLYMPTON STREET","2","0","0","0","0",
"2021 Aug 09 10:16:00 AM","DOVER ST","MASS AVE",,,"2","0","0","0","0","North Cambridge"
"2021 Aug 09 09:59:00 AM","MAGAZINE STREET","CHESTNUT STREET",,,"0","0","0","0","0","Cambridgeport"
"2021 Aug 09 09:22:00 AM","BROOKLINE ST","PUTNAM AVE.",,,"2","0","0","1","1","Cambridgeport"
"2021 Aug 09 08:52:00 AM","WESTERN AVE.","KINNAIRD ST.","150","WESTERN AVE","2","0","0","0","0","Riverside"
"2021 Aug 09 02:55:00 AM","PUTNAM AVE","BROOKLINE AVE",,,"0","0","0","0","0",
"2021 Aug 08 11:50:00 PM","PROSPECT STREET","HARVARD STREET",,,"1","0","0","0","0","Mid-Cambridge"
"2021 Aug 08 02:26:00 PM",,,"215","ALEWIFE BROOK PARKWAY","0","0","0","0","0","Cambridge Highlands"
"2021 Aug 08 03:24:00 AM","FRANKLIN STREET","RIVER STREET",,,"2","0","0","0","0","Riverside"
"2021 Aug 08 03:19:00 AM",,,"428","MASSACHUSETTS AVENUE","2","0","0","0","0","Cambridgeport"
"2021 Aug 07 12:50:00 PM",,,"43","DOVER STREET","0","0","0","0","0","North Cambridge"
"2021 Aug 06 03:13:00 PM",,,"100","CAMBRIDGESIDE PL","1","0","0","0","0","East Cambridge"
"2021 Aug 06 01:41:00 PM",,,"299","CONCORD AVE","2","0","0","0","0","Neighborhood Nine"
"2021 Aug 06 09:09:00 AM",,,"2240","MASSACHUSETTS AVE","2","0","0","0","0","North Cambridge"
"2021 Aug 06 12:06:00 AM","MARKET STREET","WINSDOR STREET",,,"1","0","0","0","0","The Port"
"2021 Aug 05 05:25:00 PM",,,"1","SCIENCE PARK","1","0","0","0","0","East Cambridge"
"2021 Aug 05 02:45:00 PM",,,"40","CLIFTON STREET","0","0","0","0","0","North Cambridge"
"2021 Aug 05 02:11:00 PM","HARVARD ST","PRESCOTT ST",,,"2","0","0","3","0","Mid-Cambridge"
"2021 Aug 05 01:52:00 PM",,,,"186 ALWIFE BROOK PKWY","2","0","0","0","0",
"2021 Aug 04 06:33:00 PM",,,"215","TMOBILE PARKING LOT","0","0","0","0","0",
"2021 Aug 04 06:06:00 PM",,,"495","CONCORD AVENUE","2","0","0","0","0","Neighborhood Nine"
"2021 Aug 04 03:43:00 PM","CAMBRIDGE ST","CARDINAL MEDEIROS",,,"2","0","0","1","0","Wellington-Harrington"
"2021 Aug 04 10:00:00 AM","MAPLE AVE","MARIE AVE",,,"1","0","0","0","0","Mid-Cambridge"
"2021 Aug 04 09:34:00 AM","RIVER ST","MASSACHUSETTS AVE",,,"2","0","0","0","0","North Cambridge"
"2021 Aug 03 07:00:00 PM","MASS AVE","ALEWIFE BROOK PKWY",,,"2","0","0","0","0","North Cambridge"
"2021 Aug 03 01:30:00 PM",,,"31","WALDEN STREET","0","0","0","0","0","North Cambridge"
"2021 Aug 03 01:05:00 PM",,,"624","MASSACHUSETTS AVE","1","1","0","1","1","Cambridgeport"
"2021 Aug 02 07:46:00 PM",,,"501","CAMBRIDGE","1","0","0","0","0",
"2021 Aug 02 05:13:00 PM","MASS AVE","NORFOLK STREET",,,"1","0","0","0","0","The Port"
"2021 Aug 02 02:23:00 PM","CARDINAL MEDEIROS AVE","BINNEY ST",,,"2","0","0","0","0",
"2021 Aug 02 12:16:00 PM","NORFOLK ST","WASHINGTON ST",,,"1","0","0","0","0","The Port"
"2021 Aug 02 09:46:00 AM","MASSACHUSETTS AVE","SOMERVILLE AVE",,,"2","0","0","0","0","North Cambridge"
"2021 Aug 02 03:19:00 AM",,,"67","KINNAIRD STREET","0","0","0","0","0","Riverside"
"2021 Aug 02 01:30:00 AM",,,"151","PUTNAM AVE","1","0","0","0","1","Riverside"
"2021 Aug 01 07:04:00 PM",,,"23","CHURCH STREET","0","0","0","0","0","West Cambridge"
"2021 Aug 01 07:00:00 PM",,,"29","PUTNAM AVENUE","0","0","0","0","0","Riverside"
"2021 Aug 01 10:14:00 AM",,,"1644","MASS AVE","0","0","0","0","0","Neighborhood Nine"
"2021 Jul 31 08:48:00 PM",,,"4","DOUGLASS ST.","0","0","0","0","0","The Port"
"2021 Jul 31 12:54:00 PM",,,"44","CONCORD AVENUE","3","0","0","0","0","West Cambridge"
"2021 Jul 30 03:33:00 PM","DOUGLAS ST","MASSACHUSETTS AVE",,,"2","0","0","0","0","Cambridgeport"
"2021 Jul 30 02:35:00 PM",,,"27","CHAUNCY ST","0","0","0","0","0","Neighborhood Nine"
"2021 Jul 30 02:10:00 PM","BROADWAY","FELTON ST",,,"2","0","0","1","1","Mid-Cambridge"
"2021 Jul 30 01:48:00 PM",,,"200","MAIN STREET","2","0","0","0","0","Area 2/MIT"
"2021 Jul 30 12:22:00 PM",,,"9","WARE STREET","0","0","0","0","0","Mid-Cambridge"
"2021 Jul 29 08:08:00 PM",,,"205","MT.AUBURN STREET","1","0","0","0","0","West Cambridge"
"2021 Jul 29 02:57:00 PM","CAMBRIDGE ST","HUNTING ST",,,"3","0","0","1","1","Wellington-Harrington"
"2021 Jul 29 01:55:00 PM",,,"0","PLEASANT AND GREETN STREET","1","0","1","0","0",
"2021 Jul 29 01:23:00 PM",,,"545","TECHNOLOGY SQUARE","0","0","0","0","0","The Port"
"2021 Jul 29 12:53:00 PM",,,"200","ALEWIFE BROOK PARKWAY","0","0","0","0","0","Cambridge Highlands"
"2021 Jul 29 08:00:00 AM",,,"7","ELLSWORTH AVENUE","0","0","0","0","0","Mid-Cambridge"
"2021 Jul 28 12:44:00 PM",,,"31","HURON AVE","0","0","0","0","0","Neighborhood Nine"
"2021 Jul 28 11:21:00 AM",,,"260","GREEN ST","1","0","1","0","0","Cambridgeport"
"2021 Jul 28 04:25:00 AM","HAMILTON ST","PEARL ST",,,"0","0","0","0","0","Cambridgeport"
"2021 Jul 27 08:33:00 PM",,,"69","HAMPSHIRE STREET","1","1","0","1","1","Wellington-Harrington"
"2021 Jul 27 04:14:00 PM",,,,"MASSACHUSETTS AVE","1","1","0","0","0",
"2021 Jul 27 12:40:00 PM",,,"43","SCIRAPPA ST","1","0","0","0","0","East Cambridge"
"2021 Jul 27 11:35:00 AM","PORTLAND STREET","BROADWAY",,,"2","0","0","0","0","The Port"
"2021 Jul 27 09:54:00 AM","BROADWAY","PROSPECT ST",,,"1","1","0","1","0","The Port"
"2021 Jul 26 01:06:00 PM",,,"730","MEMORIAL DRIVE","0","0","0","0","0","Cambridgeport"
"2021 Jul 25 03:10:00 PM",,,"730","MEMORIAL DRIVE","2","0","0","0","0","Cambridgeport"
"2021 Jul 25 12:02:00 PM","PROSPECT STREET","BROADWAY",,,"2","0","0","0","0","The Port"
"2021 Jul 24 12:56:00 AM",,,"1755","MASSACHUSETTS AVE","1","0","0","1","1","Baldwin"
"2021 Jul 23 04:27:00 PM","MARTIN STREET","AVON STREET",,,"0","0","0","0","0","Neighborhood Nine"
"2021 Jul 23 03:12:00 PM","BROADWAY","HANCOCK ST",,,"2","0","0","2","0","Mid-Cambridge"
"2021 Jul 23 03:03:00 PM",,,"45","MT AUBURN ST","2","0","0","0","0","Riverside"
"2021 Jul 23 11:41:00 AM",,,"2143","MASSACHUSETTS AVE","2","0","0","0","0","North Cambridge"
"2021 Jul 23 10:46:00 AM","BISHOP ALLEN DRIVE","SCHOOL STREET",,,"0","0","0","0","0","The Port"
"2021 Jul 23 08:42:00 AM","CAMBRIDGE STREET","WILLOW STREET",,,"2","0","0","0","0","Wellington-Harrington"
"2021 Jul 23 08:34:00 AM","OTIS","SIXTH",,,"0","0","0","0","0",
"2021 Jul 22 11:04:00 PM",,,"15","PERRY STREET","1","0","0","0","0","Cambridgeport"
"2021 Jul 22 07:25:00 PM",,,"691","CAMBRIDGE STREET","1","0","0","1","0","Wellington-Harrington"
"2021 Jul 22 01:16:00 PM",,,"2020","MASS AVE","0","0","0","0","0","North Cambridge"
"2021 Jul 22 01:01:00 PM",,,"35","DOVER ST","0","0","0","0","0","North Cambridge"
"2021 Jul 22 11:34:00 AM","FOLLEN STREET","WATERHOUSE STREET",,,"1","0","0","0","0","Neighborhood Nine"
"2021 Jul 21 09:32:00 PM",,,"17","HURLBUT ST.","1","0","0","0","0","Neighborhood Nine"
"2021 Jul 21 04:08:00 PM",,,"71","OXFORD AVE","0","0","0","0","0","Strawberry Hill"
"2021 Jul 21 03:55:00 PM",,,,"MASSACHUESETTS AVE","2","0","0","0","0",
"2021 Jul 21 02:35:00 PM",,,"277","BROADWAY","2","0","0","0","0","The Port"
"2021 Jul 21 01:27:00 PM","MASS AVE","MASS AVE",,,"2","0","0","1","1",
"2021 Jul 21 11:28:00 AM","WALDEN STREET","MASS AVE",,,"0","0","0","0","0","North Cambridge"
"2021 Jul 21 10:00:00 AM","CAMBRIDGE ST","FULKERSON ST",,,"1","1","0","1","0","East Cambridge"
"2021 Jul 20 04:00:00 PM",,,"8","JEFFERSON STREET","0","0","0","0","0","Wellington-Harrington"
"2021 Jul 20 02:41:00 PM","MASSACHUSETTS AVE","RICE ST",,,"2","0","0","0","0","North Cambridge"
"2021 Jul 20 10:43:00 AM",,,"297","MASS AVE","0","0","0","0","0","The Port"
"2021 Jul 19 09:07:00 PM","PROPSECT ST","HAMPSHIRE ST",,,"1","0","0","0","0","The Port"
"2021 Jul 18 11:27:00 PM",,,"612","MAIN STREET","1","1","0","0","0","The Port"
"2021 Jul 17 01:54:00 PM","MASS AV","CHAUNCEY ST",,,"2","0","0","1","1",
"2021 Jul 17 09:00:00 AM",,,"100","CAMBRIDGESIDE PLACE","0","0","0","0","0","East Cambridge"
"2021 Jul 16 11:28:00 PM","PROSPECT ST","BROADWAY",,,"2","0","0","0","0","The Port"
"2021 Jul 16 10:28:00 PM",,,"245","MASS AVE.","0","0","0","0","0","The Port"
"2021 Jul 16 07:42:00 PM",,,,"LAKE VIEW","1","0","0","0","0",
"2021 Jul 16 12:26:00 PM",,,"525","MAIN ST","2","0","0","0","0","Area 2/MIT"
"2021 Jul 15 07:30:00 PM",,,"69","DUDLEY STREET","1","0","0","0","0","North Cambridge"
"2021 Jul 15 11:52:00 AM",,,"1","WHITE STREET","2","0","0","0","0","North Cambridge"
"2021 Jul 15 09:45:00 AM",,,,"MASSACHUSETTS AVE","1","1","0","1","0",
"2021 Jul 14 10:00:00 PM",,,,"MASS AVE","1","0","0","0","0",
"2021 Jul 14 04:38:00 PM",,,"5","CRAWFORD ST","0","0","0","0","0","Mid-Cambridge"
"2021 Jul 14 03:14:00 PM","PROSPECT ST","BISHOP ALLEN",,,"2","0","0","0","0","Mid-Cambridge"
"2021 Jul 13 06:17:00 PM",,,"822","SOMERVILLE AVE","0","0","0","0","0","North Cambridge"
"2021 Jul 13 05:46:00 PM",,,"1668","MASSACHUSETTS AVENUE","1","0","0","0","0","Neighborhood Nine"
"2021 Jul 13 04:18:00 PM",,,"3","GARDEN STREET","0","0","0","0","0","West Cambridge"
"2021 Jul 13 10:11:00 AM","BRATTLE STREET","BRATTLE SQUARE",,,"1","1","0","1","0",
"2021 Jul 12 04:09:00 PM",,,"45","SPINNELLI PLACE","1","0","0","0","0","Cambridge Highlands"
"2021 Jul 12 02:04:00 PM",,,"100","CAMBRIDGE SIDE PLACE","0","0","0","0","0","East Cambridge"
"2021 Jul 12 11:55:00 AM",,,"85","BISHOP ALLEN DRIVE","1","0","0","0","0","The Port"
"2021 Jul 11 08:22:00 PM","MT AUBURN","BELMONT ST",,,"2","0","0","0","0","West Cambridge"
"2021 Jul 11 07:11:00 PM",,,"10","LAUREL STREET","0","0","0","0","0","Cambridgeport"
"2021 Jul 11 06:50:00 PM",,,"10","LAUREL","0","0","0","0","0",
"2021 Jul 11 05:37:00 PM",,,"157","SIXTH STREET","0","0","0","0","0","East Cambridge"
"2021 Jul 11 04:01:00 PM",,,"33","MASSACHUSETTS AVE","2","0","0","1","1","Area 2/MIT"
"2021 Jul 11 03:25:00 PM","MASS AV","PEABODY ST",,,"2","0","0","0","0","Mid-Cambridge"
"2021 Jul 11 10:30:00 AM","SHERMAN ST","WALDEN ST",,,"0","0","0","0","0","Neighborhood Nine"
"2021 Jul 10 02:34:00 PM",,,"460","GREEN ST","0","0","0","0","0","Riverside"
"2021 Jul 10 08:30:00 AM",,,"21","ERIE STREET","1","0","0","0","0","Cambridgeport"
"2021 Jul 10 12:00:00 AM",,,"27","MT AUBURN ST","0","0","0","0","0","Riverside"
"2021 Jul 09 10:24:00 PM",,,"177","HARVARD ST","1","0","0","0","0","The Port"
"2021 Jul 08 03:23:00 PM","FIRST STREET","BINNET STREET",,,"2","0","0","0","0","East Cambridge"
"2021 Jul 08 12:00:00 PM",,,"2","CANAL PARK","0","0","0","0","0","East Cambridge"
"2021 Jul 08 10:29:00 AM",,,"46","BIGELOW STREET","1","0","0","0","0","Mid-Cambridge"
"2021 Jul 08 08:56:00 AM",,,,"SCHOOL ST","0","0","0","0","0",
"2021 Jul 07 11:27:00 AM","CONCORD AVE","APPLETON ST",,,"2","0","0","0","0","West Cambridge"
"2021 Jul 07 06:16:00 AM","MASSACHUSETTS AVE","CHURCH ST",,,"1","1","0","1","0","West Cambridge"
"2021 Jul 06 10:53:00 PM",,,"2150","MASS AVE","2","0","0","0","0","North Cambridge"
"2021 Jul 06 06:28:00 PM","JFK STREET","MOUNT AUBURN STREET",,,"1","1","0","0","0","Riverside"
"2021 Jul 06 01:32:00 PM",,,"140","CAMBRIDGEPARK DR","2","0","0","0","0","North Cambridge"
"2021 Jul 04 07:04:00 PM",,,"1039","MASSACHUSETTS AVENUE","0","0","0","0","0","Mid-Cambridge"
"2021 Jul 03 11:49:00 AM",,,"1837","MASS AVE","0","0","0","0","0","Mid-Cambridge"
"2021 Jul 03 11:40:00 AM",,,"154","AMORY STREET","1","0","0","0","0","Mid-Cambridge"
"2021 Jul 01 10:24:00 PM","WESTERN AVE","HOWARD STREET",,,"1","0","0","0","0","Riverside"
"2021 Jun 30 08:23:00 PM",,,"42-58","WILLOW ST","2","0","0","0","0","Wellington-Harrington"
"2021 Jun 30 08:14:00 PM",,,"228","BROADWAY","1","0","0","0","0","The Port"
"2021 Jun 30 12:37:00 PM",,,"131","SECOND ST","1","0","0","0","0","East Cambridge"
"2021 Jun 30 10:01:00 AM",,,"39","JOHN F KENNEDY ST","2","0","0","0","0","West Cambridge"
"2021 Jun 30 07:39:00 AM","MASSACHUSETTS AVE","DOVER ST",,,"2","0","0","1","1","North Cambridge"
"2021 Jun 29 09:25:00 PM","MASSACHUSETTS AVENUE","CAMERON AVENUE",,,"2","0","0","0","1","North Cambridge"
"2021 Jun 29 05:02:00 PM",,,"17","WARE STREET","2","0","0","0","0","Mid-Cambridge"
"2021 Jun 29 04:29:00 PM",,,"19-21","LOWELL ST","0","0","0","0","0","West Cambridge"
"2021 Jun 29 02:15:00 PM","QUINCY STREET","CAMBRIDGE STREET",,,"1","0","0","0","0","Mid-Cambridge"
"2021 Jun 29 02:07:00 PM",,,"725","CONCORD AVENUE","2","0","0","0","0","Cambridge Highlands"
"2021 Jun 29 04:42:00 AM","MAIN ST","PORTLAND ST",,,"1","0","0","0","0","The Port"
"2021 Jun 28 11:14:00 PM",,,"6","SUMNER RD","1","0","0","0","0","Mid-Cambridge"
"2021 Jun 28 01:50:00 PM","CONCORD AVE","HURON AVE",,,"2","0","0","0","0","Neighborhood Nine"
"2021 Jun 28 12:02:00 PM",,,"803","CAMBRIDGE STREET","0","0","0","0","0","Wellington-Harrington"
"2021 Jun 27 12:04:00 AM",,,"20","ELIOT ST","2","0","0","0","0","West Cambridge"
"2021 Jun 26 09:12:00 PM",,,"50","MAY ST","1","0","0","1","1","Strawberry Hill"
"2021 Jun 26 05:36:00 PM",,,"730","MEMORIAL DR","0","0","0","0","0","Cambridgeport"
"2021 Jun 24 10:47:00 PM",,,"107","PORTLAND ST","1","0","1","1","1","The Port"
"2021 Jun 24 07:22:00 PM","SECOND STREET","THORNDIKE",,,"2","0","0","0","0","East Cambridge"
"2021 Jun 24 04:21:00 PM","CAMBRIDGE ST","WINDSOR ST",,,"3","0","0","0","0","Wellington-Harrington"
"2021 Jun 24 11:54:00 AM",,,"389","BINNEY ST (EXTENSION)","2","0","0","0","0","Wellington-Harrington"
"2021 Jun 23 06:26:00 PM",,,"2409","MASSACHUSETTS AVE","1","0","0","0","0","North Cambridge"
"2021 Jun 23 05:42:00 PM","BROOKLINE ST","MEMORIAL DR",,,"1","0","0","0","0",
"2021 Jun 23 05:30:00 PM","CAMBRIDGE ST","CAMBRIDGE ST",,,"3","0","0","3","2",
"2021 Jun 23 03:48:00 PM",,,"14","COTTAGE PARK AVE","0","0","0","0","0","North Cambridge"
"2021 Jun 23 12:56:00 PM",,,"799","CONCORD AVE","2","0","0","0","0","Cambridge Highlands"
"2021 Jun 23 09:55:00 AM","COLUMBIA STREET","WASHINGTON STREET",,,"2","0","0","1","1","The Port"
"2021 Jun 23 08:00:00 AM","MAIN ST","PORTLAND ST",,,"1","0","0","0","0","The Port"
"2021 Jun 22 08:51:00 AM",,,"10","HARRINGTON ROAD","1","0","0","0","0","North Cambridge"
"2021 Jun 21 07:00:00 PM",,,"6","BERKSHIRE PLACE","1","0","0","0","0","Wellington-Harrington"
"2021 Jun 21 01:39:00 PM",,,"581","MASSACHUSETTS","1","0","0","0","0",
"2021 Jun 21 12:40:00 PM",,,"198","ALEWIFE BROOK PARKWAY","1","0","0","0","0","Cambridge Highlands"
"2021 Jun 21 11:37:00 AM",,,"699","MT. AUBURN ST","0","0","0","0","0","West Cambridge"
"2021 Jun 20 11:15:00 PM","PROSPECT STREET","MASSACHUSETTS AVENUE",,,"1","0","0","0","0",
"2021 Jun 20 01:59:00 PM","PRENTISS STREET","OXFORD STREET",,,"2","0","0","0","0","Baldwin"
"2021 Jun 19 10:45:00 PM","MOUNT AUBURN STREET","BRATTLE STREET",,,"2","0","0","0","0","West Cambridge"
"2021 Jun 19 06:39:00 PM","WESTERN AVE","FRANKLIN STREET",,,"0","0","0","1","0","Riverside"
"2021 Jun 19 05:40:00 PM",,,"2100","MASSACHUSETTS AVE","5","0","0","2","2","North Cambridge"
"2021 Jun 19 12:37:00 AM",,,"38","DOVER STREET","1","0","1","0","0","North Cambridge"
"2021 Jun 18 05:00:00 PM",,,"94","CLAY ST","0","0","0","0","0","North Cambridge"
"2021 Jun 18 03:59:00 PM",,,"41","BELMONT STREET","3","0","0","1","1","Strawberry Hill"
"2021 Jun 18 02:58:00 PM",,,"625","MASSACHUSETTS AVE.","2","0","0","0","0","The Port"
"2021 Jun 18 01:44:00 PM",,,"25","AVON STREET","2","0","0","0","0","Neighborhood Nine"
"2021 Jun 18 10:05:00 AM",,,,"LARCHWOOD DRIVE","1","0","0","0","0",
"2021 Jun 17 05:16:00 PM",,,"725","CONCORD AVE","0","0","0","0","0","Cambridge Highlands"
"2021 Jun 17 01:19:00 PM","MASSACHUSETTS AVENUE","SIDNEY STREET",,,"1","0","0","0","0","The Port"
"2021 Jun 17 01:13:00 AM",,,,"RIVER ST","2","0","0","0","0",
"2021 Jun 16 11:51:00 PM",,,"31","SMITH PLACE","1","0","0","0","0","Cambridge Highlands"
"2021 Jun 16 09:18:00 PM",,,,"MT. AUBURN STREET","2","0","0","1","1",
"2021 Jun 16 07:04:00 PM",,,,"1 RICHDALE AVE","1","0","0","0","0",
"2021 Jun 16 05:30:00 PM",,,"235","ALEWIFE BROOK PARKWAY","1","0","0","0","0","Cambridge Highlands"
"2021 Jun 16 05:27:00 PM",,,"193","WINDSOR ST","1","0","0","0","0","The Port"
"2021 Jun 16 03:43:00 PM",,,"360","MT. AUBURN STREET","2","0","0","0","0","West Cambridge"
"2021 Jun 16 03:15:00 PM",,,"137","WALDEN ST","3","0","0","1","1","Neighborhood Nine"
"2021 Jun 16 09:54:00 AM",,,"272","VASSAR ST","2","0","0","0","0","Area 2/MIT"
"2021 Jun 15 09:22:00 PM",,,"149","WILLOW STREET","0","0","0","0","0","Wellington-Harrington"
"2021 Jun 15 05:40:00 PM","MOUNT AUBURN STREET","SPARKS STREET",,,"2","0","0","0","0","West Cambridge"
"2021 Jun 15 01:10:00 PM",,,"27","ABERDEEN AV","1","0","0","0","0","West Cambridge"
"2021 Jun 14 02:28:00 PM",,,"12","PLYMPTON ST","1","0","0","0","0","Riverside"
"2021 Jun 14 10:31:00 AM","ERIE STREET","BROOKLINE STREET",,,"1","0","0","0","0","Cambridgeport"
"2021 Jun 12 09:38:00 PM","PROSPECT STREET",,,,"1","0","3","2","3",
"2021 Jun 12 04:42:00 AM","BROADWAY",,"390","BROADWAY","1","0","0","0","0","Mid-Cambridge"
"2021 Jun 11 10:55:00 PM",,,"125","SIXTH STREET","1","0","0","0","0","East Cambridge"
"2021 Jun 11 01:33:00 PM",,,"200","ALEWIFE BROOK PARKWAY","0","0","0","0","0","Cambridge Highlands"
"2021 Jun 11 11:06:00 AM",,,"22","AUBURN ST","1","0","0","0","0","Cambridgeport"
"2021 Jun 11 10:24:00 AM",,,"27","KELLY ROAD","0","0","0","0","0","Cambridgeport"
"2021 Jun 11 09:26:00 AM","CAMBRIDGE ST.","QUINCY ST.",,,"2","0","0","0","0","Mid-Cambridge"
"2021 Jun 10 10:00:00 AM",,,"221","MT AUBURN ST","1","0","0","0","0","West Cambridge"
"2021 Jun 09 10:47:00 PM","BROADWAY ST","WINDSOR ST",,,"2","0","0","1","1","The Port"
"2021 Jun 09 08:43:00 PM","CAMBRIDGE STREET","CARDINAL MEDERIROS AVE",,,"2","0","0","0","0","Wellington-Harrington"
"2021 Jun 09 03:36:00 PM",,,"1727","CAMBRIDGE ST","2","0","0","0","0","Mid-Cambridge"
"2021 Jun 09 02:38:00 PM",,,,"RIVERSIDE RD","1","0","0","0","0",
"2021 Jun 09 01:55:00 PM","LAND BLVD","BINNEY STREET",,,"1","0","0","0","0","East Cambridge"
"2021 Jun 09 01:29:00 PM","BRISTOL ST","CARDINAL MEDEIROS",,,"2","0","0","0","0",
"2021 Jun 09 09:12:00 AM","FAWCETT ST","FAWCETT ACCESS ROAD TO 90 FAWCETT",,,"2","0","0","0","0",
"2021 Jun 08 09:40:00 PM","CONCORD AVE.","FAWCETT ST.",,,"1","0","1","0","0","Cambridge Highlands"
"2021 Jun 08 01:12:00 PM",,,"180","CHARLES ST","1","0","0","0","0","East Cambridge"
"2021 Jun 08 10:15:00 AM",,,"10","MARIE AVE","1","0","0","0","0","Mid-Cambridge"
"2021 Jun 07 11:01:00 PM",,,"231","BROOKLINE STREET","1","0","0","1","1","Cambridgeport"
"2021 Jun 07 02:00:00 PM","PORTLAND ST","BROADWAY",,,"1","1","0","1","0","The Port"
"2021 Jun 07 12:37:00 PM",,,,"RIVER ST","1","0","0","0","0",
"2021 Jun 06 05:18:00 PM",,,"17","MEACHAM ROAD","0","0","0","0","0","North Cambridge"
"2021 Jun 05 06:49:00 PM","WASHINGTON ST","NORFOLK",,,"0","0","0","0","0","The Port"
"2021 Jun 05 05:37:00 PM",,,"723","CAMBRIDGE ST","0","0","0","0","0","Wellington-Harrington"
"2021 Jun 05 02:25:00 PM","CLIFTON PLACE","PARKING LOT",,,"2","0","0","0","0",
"2021 Jun 05 01:50:00 PM",,,"269","PUTNAM AVE","0","0","0","0","0","Riverside"
"2021 Jun 04 11:30:00 AM",,,"25","JFK ST","2","0","0","0","0","West Cambridge"
"2021 Jun 04 08:39:00 AM","GREEN ST","HANCOCK ST",,,"1","1","0","1","1","Riverside"
"2021 Jun 04 02:18:00 AM","48 QUINCY ST",,"48","QUINCY STREET","1","0","0","1","2","Mid-Cambridge"
"2021 Jun 03 07:51:00 PM",,,"1","WHITE STREET","2","0","0","0","0","North Cambridge"
"2021 Jun 03 02:53:00 PM","CAMBRIDGE ST","SCIARAPPA ST",,,"1","0","1","1","1","East Cambridge"
"2021 Jun 03 10:02:00 AM","PROSPECT ST","CLARY ST",,,"2","0","0","0","0","Wellington-Harrington"
