"Date Time","Intersection Street One","Intersection Street Two","Address Street Number","Address Street Name","Number of Motorists","Number of Cyclists","Number of Pedestrians","Number of Injured Individuals","Hospitalizations (estimated)","Neighborhood (estimated)"
"2026 Aug 30 11:06:00 AM","MASSACHUSETTS AVENUE","RICE STREET",,,"2","0","0","0","0","North Cambridge"
"2026 Aug 30 09:35:00 AM","WALDEN ST","MASSACHUSETTS AVE",,,"0","0","0","0","0","North Cambridge"
"2026 Aug 30 03:36:00 AM","CAMBRIDGE STREET","SIXTH STREET",,,"2","0","0","1","1","East Cambridge"
"2026 Aug 29 11:00:00 PM",,,"238","MAIN STREET","1","0","0","0","0","Area 2/MIT"
"2026 Aug 29 06:50:00 PM",,,"691","CAMBRIDGE STREET","1","0","1","1","1","Wellington-Harrington"
"2026 Aug 29 06:22:00 PM","MAIN STREET","VASSAR STREET",,,"1","1","0","1","0",
"2026 Aug 28 05:28:00 PM","PUTNAM AVENUE","WESTERN AVENUE",,,"2","0","0","0","0","Riverside"
"2026 Aug 28 04:15:00 PM",,,"340","RIVER ST","0","0","0","0","0","Cambridgeport"
"2026 Aug 28 04:11:00 PM","MASS AVE.","CHURCHILL AVE.",,,"2","0","0","0","0","North Cambridge"
"2026 Aug 28 04:00:00 PM","HARVEY STREET","CEDAR STREET",,,"0","0","0","0","0","North Cambridge"
"2026 Aug 28 10:30:00 AM",,,"3","WALDEN SQ RD","0","0","0","0","0","Neighborhood Nine"
"2026 Aug 27 10:20:00 AM","WINDSOR ST","HAMPSHIRE ST",,,"1","0","0","0","0",
"2026 Aug 27 07:08:00 AM",,,"UNKN","FOREST STREET","1","1","0","1","0",
"2026 Aug 26 06:11:00 PM","MASS AVE","RUSSELL",,,"1","0","0","1","0",
"2026 Aug 26 02:48:00 PM",,,,"MASSACHUSETTS AVENUE","2","0","0","0","0",
"2026 Aug 26 11:47:00 AM",,,"738","CAMBRIDGE STREET","1","1","0","1","1","Wellington-Harrington"
"2026 Aug 26 11:35:00 AM",,,"158","MASSACHUSETTS AVENUE","2","0","0","0","0","Cambridgeport"
"2026 Aug 26 11:18:00 AM","LANDSDOWNE STREET","FRANKLIN STREET",,,"1","0","1","1","0","Cambridgeport"
"2026 Aug 26 10:56:00 AM",,,"287","BROADWAY STREET","1","0","0","0","0",
"2026 Aug 26 09:00:00 AM",,,"340","RIVER STREET","0","0","0","0","0","Cambridgeport"
"2026 Aug 25 08:06:00 PM",,,"1768","MASSACHUSETTS AVENUE","2","0","0","0","0","Neighborhood Nine"
"2026 Aug 25 06:28:00 PM",,,,"CENTRE ST/ HANDCOCK ST","1","0","0","0","0",
"2026 Aug 25 05:05:00 PM","OXFORD ST","WENDELL ST",,,"1","0","0","1","0","Baldwin"
"2026 Aug 25 01:26:00 PM",,,"330","MOUNT AUBURN STREET","2","0","0","0","1","West Cambridge"
"2026 Aug 25 10:34:00 AM",,,"00","N/A","0","0","0","0","0",
"2026 Aug 25 07:50:00 AM",,,"320","RINDGE AVE","1","0","0","0","0","North Cambridge"
"2026 Aug 25 12:24:00 AM","DOVER ST.","MASS. AVE.",,,"1","0","0","0","0","North Cambridge"
"2026 Aug 24 10:20:00 PM",,,"325","MAIN STREET","1","0","0","0","0","Area 2/MIT"
"2026 Aug 24 11:27:00 AM","WINDSOR ST","STATE ST",,,"2","0","0","0","0","The Port"
"2026 Aug 23 08:40:00 PM",,,"1200","MASS AVE","0","0","0","0","0","Riverside"
"2026 Aug 23 06:26:00 PM",,,"299","WESTERN AVE","0","0","0","0","0","Riverside"
"2026 Aug 23 02:34:00 PM",,,"777","MEMORIAL DRIVE","1","0","0","1","0","Cambridgeport"
"2026 Aug 23 02:17:00 PM","MASSACHUSETTS AVE","BOW ST",,,"2","0","0","1","1","Riverside"
"2026 Aug 23 08:50:00 AM",,,"80","WHEELER","2","0","0","0","0",
"2026 Aug 22 10:06:00 AM",,,"63","CHURCH ST","0","0","0","0","0","West Cambridge"
"2026 Aug 22 09:50:00 AM","MEMORIAL DRIVE","WESTERN AVENUE",,,"2","0","0","0","0",
"2026 Aug 21 09:57:00 PM","MASSACHUSETTS","RICE",,,"1","0","0","0","0",
"2026 Aug 21 05:50:00 PM","MASSACHUSETTS AVE","LINNAEAN ST",,,"1","1","0","0","0","Baldwin"
"2026 Aug 21 02:05:00 PM","SELLERS STREET","MASSACHUSETTES AVE",,,"1","0","0","0","0","Mid-Cambridge"
"2026 Aug 21 10:06:00 AM","MASSACHUSETTS AVENUE","ALBERTA TERRACE",,,"2","0","0","0","0","North Cambridge"
"2026 Aug 21 07:35:00 AM",,,"195","PROSPECT STREET","2","0","0","0","0","Mid-Cambridge"
"2026 Aug 21 05:29:00 AM","RINDGE AVE","CLIFTON PLACE",,,"0","1","0","0","0",
"2026 Aug 20 10:36:00 AM",,,"16","PROSPECT STREET","2","0","0","0","0","The Port"
"2026 Aug 20 09:50:00 AM",,,"290","MAIN STREET","2","0","0","0","0","Area 2/MIT"
"2026 Aug 20 08:00:00 AM",,,"30","LEE STREET","2","0","0","0","0","Mid-Cambridge"
"2026 Aug 19 10:15:00 PM",,,"25","EIGHTH STREET","0","0","0","0","0","East Cambridge"
